sku,attribute_set_code,product_type,categories,product_websites,name,product_online,price,special_price,special_price_from_date,special_price_to_date,description,short_description,url_key,meta_title,meta_keywords,meta_description,base_image,small_image,thumbnail_image,swatch_image,additional_images,additional_attributes,visibility,qty,total_qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,qty_2,qty_8
13125,Default,simple,Default Category/Shop by Category/Fruits and Vegetables,"base,mailpacshopclub",Gala Apple 1.36 kg / 3 lb,1,1528.35,,,,"Imported product, it is a small to medium-sized apple with a sweet taste, ideal for pies, jams, sauces and salads. It is also very tasty as a snack. They contain vitamins and minerals that help our organism to be healthier. They are rich in fibre, antioxidants and nutrients that are beneficial for our health. Moreover, Gala apples are ideal to take with you anywhere, as they keep well at room temperature.",Fruits and Vegetables,Gala Apple 1.36 kg / 3 lb-13125,Gala Apple 1.36 kg / 3 lb,Gala Apple 1.36 kg / 3 lb,Gala Apple 1.36 kg / 3 lb,W13125_1.jpg,W13125_1.jpg,W13125_1.jpg,W13125_1.jpg,"W13125_1.jpg,W13125_2.jpg,W13125_3.jpg","cost=1329.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0
286163,Default,simple,Default Category/Shop by Category/Fruits and Vegetables,"base,mailpacshopclub",Carrot 1.36 kg / 2.9 lb,1,1033.85,,,,"Local product |Carrots are a crunchy, sweet root vegetable. They are an excellent source of beta-carotene, fibre, vitamin K1, potassium and antioxidants. They are rich in beta-carotene and provide the body with vitamin A, which helps improve vision and prevent age-related vision problems. They also contain fibre which can help keep you regular and improve digestive health.  They are a great addition to any weight loss diet and are often eaten raw, steamed, boiled, roasted or added to soups and stews. Carrots are also used in juices, salads and other dishes.",Fruits and Vegetables,Carrot 1.36 kg / 2.9 lb-286163,Carrot 1.36 kg / 2.9 lb,Carrot 1.36 kg / 2.9 lb,Carrot 1.36 kg / 2.9 lb,W286163_1.jpg,W286163_1.jpg,W286163_1.jpg,W286163_1.jpg,"W286163_1.jpg,W286163_2.jpg,W286163_3.jpg","cost=899.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
98930,Default,simple,Default Category/Shop by Category/Dairy and Eggs,"base,mailpacshopclub",Selection All-Natural Greek Nonfat Plain Yogurt 907 g / 2 lb,1,1194.85,,,,"Nonfat Yogurt With Low Sugar Content: Member’s Choice Plain Greek Yogurt contains no fat, and due to its low sugar and fat, it’s an excellent choice for individuals with sugar-related diet restrictions. Its high protein content also makes it a great addition for anyone on a low-carb, high-protein diet. No Artificial Ingredients: The delicious Greek-style all-natural yogurt contains no artificial ingredients, colorants, or additives. It’s a safe and healthy choice for the whole family. Promotes Gut Health: Member’s Selection Nonfat Greek Yogurt contains live cultures, including probiotics like S. Thermophilus, L. Acidophilus, L. Bulgaricus, and Bifidus. These bacteria encourage healthy digestion and work to prevent diarrhea, constipation, and other digestion-related issues. This healthy plain yogurt is the perfect choice for a tasty breakfast or snack. Member’s Choice Plain Greek Yogurt is made with Grade A skim milk that’s pasteurized and contains live and active cultures. With a smooth and creamy texture and delicious plain flavor, this nonfat yogurt is the perfect healthy breakfast.",Dairy and Eggs,Selection All-Natural Greek Nonfat Plain Yogurt 907 g / 2 lb-98930,Selection All-Natural Greek Nonfat Plain Yogurt 907 g / 2 lb,Selection All-Natural Greek Nonfat Plain Yogurt 907 g / 2 lb,Selection All-Natural Greek Nonfat Plain Yogurt 907 g / 2 lb,W98930_1.jpg,W98930_1.jpg,W98930_1.jpg,W98930_1.jpg,"W98930_1.jpg,W98930_2.jpg,W98930_3.jpg,W98930_4.jpg,W98930_5.jpg","cost=1039.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
25231,Default,simple,Default Category/Shop by Category/Coffee | Tea,"base,mailpacshopclub",Selection Coffee Cream 2 Units / 1 kg / 35.5 oz,1,2390.85,,,,This delicious cream powder is perfect when you want to enjoy a smooth and creamy drink. Just add it to your favorite coffee beverage and blend. Our Member's Selection products are made with premium quality at an exceptional value.,Coffee | Tea,Selection Coffee Cream 2 Units / 1 kg / 35.5 oz-25231,Selection Coffee Cream 2 Units / 1 kg / 35.5 oz,Selection Coffee Cream 2 Units / 1 kg / 35.5 oz,Selection Coffee Cream 2 Units / 1 kg / 35.5 oz,W25231_1.jpg,W25231_1.jpg,W25231_1.jpg,W25231_1.jpg,"W25231_1.jpg,W25231_2.jpg,W25231_3.jpg,W25231_4.jpg,W25231_5.jpg","cost=2079.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
286169,Default,simple,Default Category/Shop by Category/Fruits and Vegetables,"base,mailpacshopclub",String Beans 1 kg / 2.2 lb,1,1022.35,,,,"Local Product. A healthy diet includes the regular consumption of vegetables, so in our clubs you will find a wide variety to include in your daily meals.",Fruits and Vegetables,String Beans 1 kg / 2.2 lb-286169,String Beans 1 kg / 2.2 lb,String Beans 1 kg / 2.2 lb,String Beans 1 kg / 2.2 lb,W286169_1.jpg,W286169_1.jpg,W286169_1.jpg,W286169_1.jpg,W286169_1.jpg,"cost=889.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
515721,Default,simple,Default Category/Shop by Category/Grains and Pasta,"base,mailpacshopclub",Planters Rice Mill Long Grain 50 lbs / 22.6 kg,1,7128.85,,,,"This long white rice comes from the United States to add the missing touch to your meals. Complete with your favorite foods such as vegetables, meats, chicken, fish and salads. In fact, it goes perfectly with any side dish and time of the day.",Grains and Pasta,Planters Rice Mill Long Grain 50 lbs / 22.6 kg-515721,Planters Rice Mill Long Grain 50 lbs / 22.6 kg,Planters Rice Mill Long Grain 50 lbs / 22.6 kg,Planters Rice Mill Long Grain 50 lbs / 22.6 kg,W515721_1.jpg,W515721_1.jpg,W515721_1.jpg,W515721_1.jpg,W515721_1.jpg,"cost=6199.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
214524,Default,simple,Default Category/Shop by Category/Coffee | Tea,"base,mailpacshopclub",Mountain Peak Instant Coffee 170 g,1,1643.35,,,,Mountain Peak Instant Coffee 170 g,Coffee | Tea,Mountain Peak Instant Coffee 170 g-214524,Mountain Peak Instant Coffee 170 g,Mountain Peak Instant Coffee 170 g,Mountain Peak Instant Coffee 170 g,W214524_1.jpg,W214524_1.jpg,W214524_1.jpg,W214524_1.jpg,W214524_1.jpg,"cost=1429.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
305465,Default,simple,Default Category/Shop by Category/Grains and Pasta,"base,mailpacshopclub",Swiss Penne Pasta 6 Units / 300 g / 10.6 oz,1,1114.35,,,,"Experience authenticity in every bite with Swiss Penne Pasta, with this presentation of 6 units. Its unique structure enhances the absorption of sauces, making it the ideal choice for your most sophisticated recipes.",Grains and Pasta,Swiss Penne Pasta 6 Units / 300 g / 10.6 oz-305465,Swiss Penne Pasta 6 Units / 300 g / 10.6 oz,Swiss Penne Pasta 6 Units / 300 g / 10.6 oz,Swiss Penne Pasta 6 Units / 300 g / 10.6 oz,W305465_1.jpg,W305465_1.jpg,W305465_1.jpg,W305465_1.jpg,"W305465_1.jpg,W305465_2.jpg","cost=969.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
449641,Default,simple,Default Category/Shop by Category/Ready to Eat,"base,mailpacshopclub",Rainforest Spicy Salmon Roll Sushi 10 Units,1,2816.35,,,,Local product | Keep refrigerated. Enjoy the best of sushi on your table in minutes and delight your family with delicious dishes. Fresh and exquisite taste with the best selection of seafood prepared in our clubs in just one click.,Ready to Eat,Rainforest Spicy Salmon Roll Sushi 10 Units-449641,Rainforest Spicy Salmon Roll Sushi 10 Units,Rainforest Spicy Salmon Roll Sushi 10 Units,Rainforest Spicy Salmon Roll Sushi 10 Units,W449641_1.jpg,W449641_1.jpg,W449641_1.jpg,W449641_1.jpg,"W449641_1.jpg,W449641_2.jpg,W449641_3.jpg","cost=2449.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
357448,Default,simple,Default Category/Shop by Category/Coffee | Tea,"base,mailpacshopclub",Kendel Ginger Tea 40 Units,1,1631.85,,,,"Instant ginger tea.
Ginger unsweetened.
No sugar added.
Just add water.",Coffee | Tea,Kendel Ginger Tea 40 Units-357448,Kendel Ginger Tea 40 Units,Kendel Ginger Tea 40 Units,Kendel Ginger Tea 40 Units,W357448_1.jpg,W357448_1.jpg,W357448_1.jpg,W357448_1.jpg,"W357448_1.jpg,W357448_2.jpg,W357448_3.jpg","cost=1419.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
